"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Frequency,"Link clicks","CTR (link click-through rate)","CPC (cost per link click) (USD)","CPM (cost per 1,000 impressions) (USD)","Instagram profile visits","Instagram follows","IG Follow Rate","Cost Per Follow (CPF)"
2026-06-30,2026-06-30,"Joe Basil Pesto at Target",inactive,50,Daily,53.33,5813,5970,1.027008,639,10.703518,0.083459,8.932998,640,5,0.0078125,10.666
2026-06-30,2026-06-30,"Target On Shelves",active,50,Daily,6.34,423,425,1.004728,19,4.470588,0.333684,14.917647,19,3,0.15789474,2.11333333
2026-06-30,2026-06-30,"Trio Logo (Whole Foods)",active,50,Daily,48,17644,18263,1.035083,10,0.054756,4.8,2.628265,0,0,,
2026-06-30,2026-06-30,"Frozen Pasta Can't Be That Good",active,50,Daily,44.72,2787,2876,1.031934,117,4.06815,0.382222,15.549374,98,32,0.32653061,1.3975
2026-06-30,2026-06-30,"Basil Pesto Exclusive (Target)",active,50,Daily,41.34,16536,17111,1.034773,6,0.035065,6.89,2.41599,0,0,,
2026-06-30,2026-06-30,"Us v. Them",active,50,Daily,57.25,25577,25577,1,30,0.117293,1.908333,2.238339,9,0,0,
2026-06-29,2026-06-29,"Target On Shelves",active,50,Daily,14.87,983,989,1.006104,49,4.954499,0.303469,15.035389,45,4,0.08888889,3.7175
2026-06-29,2026-06-29,"Joe Basil Pesto at Target",inactive,50,Daily,48.68,5020,5062,1.008367,513,10.134334,0.094893,9.616752,510,9,0.01764706,5.40888889
2026-06-29,2026-06-29,"Frozen Pasta Can't Be That Good",active,50,Daily,43.84,2939,3086,1.050017,135,4.374595,0.324741,14.206092,119,43,0.36134454,1.01953488
2026-06-29,2026-06-29,"Joe Crispy Chicken Skin Crumble",active,50,Daily,0.31,26,27,1.038462,1,3.703704,0.31,11.481481,1,0,0,
2026-06-29,2026-06-29,"Trio Logo (Whole Foods)",active,50,Daily,35.44,13228,13961,1.055413,11,0.078791,3.221818,2.5385,0,0,,
2026-06-29,2026-06-29,"Basil Pesto Exclusive (Target)",active,50,Daily,39.68,16833,17421,1.034931,17,0.097583,2.334118,2.277711,0,0,,
2026-06-29,2026-06-29,"Us v. Them",active,50,Daily,49.05,16988,18152,1.068519,9,0.049581,5.45,2.702182,2,0,0,
2026-06-28,2026-06-28,"Target On Shelves",active,50,Daily,2.83,196,196,1,14,7.142857,0.202143,14.438776,12,2,0.16666667,1.415
2026-06-28,2026-06-28,"Joe Basil Pesto at Target",inactive,50,Daily,56.29,5677,5687,1.001761,627,11.025145,0.089777,9.898013,624,9,0.01442308,6.25444444
2026-06-28,2026-06-28,"Frozen Pasta Can't Be That Good",active,50,Daily,50.32,3021,3132,1.036743,111,3.544061,0.453333,16.066411,99,36,0.36363636,1.39777778
2026-06-28,2026-06-28,"Joe Crispy Chicken Skin Crumble",active,50,Daily,0.09,7,7,1,,,,12.857143,0,0,,
2026-06-28,2026-06-28,"4 Easy Pasta Dinners",inactive,50,Daily,0.42,9,11,1.222222,1,9.090909,0.42,38.181818,0,0,,
2026-06-28,2026-06-28,"Monthly Rip",inactive,50,Daily,0.39,17,21,1.235294,1,4.761905,0.39,18.571429,1,0,0,
2026-06-28,2026-06-28,"Trio Logo (Whole Foods)",active,50,Daily,45.39,18151,19045,1.049253,11,0.057758,4.126364,2.383303,0,0,,
2026-06-28,2026-06-28,"Basil Pesto Exclusive (Target)",active,50,Daily,44.87,15940,16899,1.060163,4,0.02367,11.2175,2.655187,0,0,,
2026-06-28,2026-06-28,"Us v. Them",active,50,Daily,49.73,19526,20070,1.02786,12,0.059791,4.144167,2.477828,2,0,0,
2026-06-27,2026-06-27,"Target On Shelves",active,50,Daily,5.62,379,382,1.007916,26,6.806283,0.216154,14.712042,24,5,0.20833333,1.124
2026-06-27,2026-06-27,"Joe Basil Pesto at Target",inactive,50,Daily,44.08,4115,4115,1,423,10.279465,0.104208,10.712029,424,13,0.03066038,3.39076923
2026-06-27,2026-06-27,"Frozen Pasta Can't Be That Good",active,50,Daily,40.81,2405,2452,1.019543,102,4.159869,0.400098,16.643556,85,34,0.4,1.20029412
2026-06-27,2026-06-27,"Joe Crispy Chicken Skin Crumble",active,50,Daily,0.07,5,5,1,,,,14,0,0,,
2026-06-27,2026-06-27,"Trio Logo (Whole Foods)",active,50,Daily,18.53,8093,8223,1.016063,7,0.085127,2.647143,2.253435,0,0,,
2026-06-27,2026-06-27,"Basil Pesto Exclusive (Target)",active,50,Daily,14.27,5852,5959,1.018284,2,0.033563,7.135,2.394697,0,0,,
2026-06-27,2026-06-27,"On Sale Basil Pesto",not_delivering,50,Daily,14.63,6206,6519,1.050435,2,0.03068,7.315,2.244209,0,0,,
2026-06-27,2026-06-27,"Us v. Them",active,50,Daily,44.47,18941,19797,1.045193,27,0.136384,1.647037,2.2463,5,0,0,
2026-06-26,2026-06-26,"Target On Shelves",active,50,Daily,4.34,271,276,1.01845,13,4.710145,0.333846,15.724638,12,1,0.08333333,4.34
2026-06-26,2026-06-26,"Joe Basil Pesto at Target",inactive,50,Daily,45.99,4158,4184,1.006253,347,8.293499,0.132536,10.991874,350,9,0.02571429,5.11
2026-06-26,2026-06-26,"Frozen Pasta Can't Be That Good",active,50,Daily,43.69,2348,2466,1.050256,92,3.730738,0.474891,17.716951,80,25,0.3125,1.7476
2026-06-26,2026-06-26,"Joe Crispy Chicken Skin Crumble",active,50,Daily,0.01,1,1,1,,,,10,0,0,,
2026-06-26,2026-06-26,"4 Easy Pasta Dinners",inactive,50,Daily,0.06,1,1,1,2,200,0.03,60,1,1,1,0.06
2026-06-26,2026-06-26,"Trio Logo (Whole Foods)",active,50,Daily,26.55,9417,9417,1,5,0.053095,5.31,2.819369,1,0,0,
2026-06-26,2026-06-26,"Basil Pesto Exclusive (Target)",active,50,Daily,53.72,32479,33341,1.02654,49,0.146966,1.096327,1.611229,0,0,,
2026-06-26,2026-06-26,"On Sale Basil Pesto",not_delivering,50,Daily,40.19,17567,18150,1.033187,18,0.099174,2.232778,2.214325,2,0,0,
2026-06-26,2026-06-26,"Us v. Them",active,50,Daily,51.37,18622,19296,1.036194,28,0.145108,1.834643,2.66221,6,0,0,
2026-06-25,2026-06-25,"Target On Shelves",active,50,Daily,4.49,269,273,1.01487,11,4.029304,0.408182,16.446886,10,3,0.3,1.49666667
2026-06-25,2026-06-25,"Joe Basil Pesto at Target",inactive,50,Daily,48.65,4335,4366,1.007151,418,9.573981,0.116388,11.142923,420,24,0.05714286,2.02708333
2026-06-25,2026-06-25,"Frozen Pasta Can't Be That Good",active,50,Daily,38.36,2131,2227,1.045049,100,4.490346,0.3836,17.224966,78,32,0.41025641,1.19875
2026-06-25,2026-06-25,"Joe Crispy Chicken Skin Crumble",active,50,Daily,0.01,1,1,1,,,,10,0,0,,
2026-06-25,2026-06-25,"Trio Logo (Whole Foods)",active,50,Daily,72,45127,45657,1.011745,34,0.074468,2.117647,1.576976,1,0,0,
2026-06-25,2026-06-25,"Basil Pesto Exclusive (Target)",active,50,Daily,47.92,20365,20526,1.007906,15,0.073078,3.194667,2.3346,1,0,0,
2026-06-25,2026-06-25,"On Sale Basil Pesto",not_delivering,50,Daily,36.97,14991,15744,1.05023,7,0.044461,5.281429,2.348196,0,0,,
2026-06-25,2026-06-25,"Us v. Them",active,50,Daily,43.45,16936,17004,1.004015,18,0.105857,2.413889,2.555281,4,0,0,
2026-06-24,2026-06-24,"Target On Shelves",active,50,Daily,6.91,375,393,1.048,20,5.089059,0.3455,17.582697,16,7,0.4375,0.98714286
2026-06-24,2026-06-24,"Joe Basil Pesto at Whole Foods",inactive,50,Daily,0.1,11,11,1,,,,9.090909,0,0,,
2026-06-24,2026-06-24,"Frozen Pasta Can't Be That Good",active,50,Daily,33.74,2030,2140,1.054187,90,4.205607,0.374889,15.766355,69,29,0.42028986,1.16344828
2026-06-24,2026-06-24,"Joe Basil Pesto at Target",inactive,50,Daily,48.62,2971,3023,1.017503,293,9.692359,0.165939,16.083361,289,20,0.06920415,2.431
2026-06-24,2026-06-24,"Cacio e Pepe Puffs",inactive,50,Daily,10.76,372,372,1,30,8.064516,0.358667,28.924731,25,8,0.32,1.345
2026-06-24,2026-06-24,"Joe Crispy Chicken Skin Crumble",active,50,Daily,6.45,365,377,1.032877,13,3.448276,0.496154,17.108753,13,6,0.46153846,1.075
2026-06-24,2026-06-24,"Monthly Rip",inactive,50,Daily,0.01,1,2,2,,,,5,0,0,,
2026-06-24,2026-06-24,"Trio Logo (Whole Foods)",active,50,Daily,56.58,18633,18842,1.011217,8,0.042458,7.0725,3.002866,0,0,,
2026-06-24,2026-06-24,"Basil Pesto Exclusive (Target)",active,50,Daily,60.85,20274,20574,1.014797,12,0.058326,5.070833,2.957616,0,0,,
2026-06-24,2026-06-24,"On Sale Basil Pesto",not_delivering,50,Daily,84.15,27522,29077,1.0565,14,0.048148,6.010714,2.89404,0,0,,
2026-06-24,2026-06-24,"Us v. Them",active,50,Daily,46.58,18218,19295,1.059117,24,0.124385,1.940833,2.414097,4,0,0,
2026-06-23,2026-06-23,"Target On Shelves",active,50,Daily,0.04,2,2,1,,,,20,0,0,,
2026-06-23,2026-06-23,"Joe Basil Pesto at Whole Foods",inactive,50,Daily,3.51,213,214,1.004695,3,1.401869,1.17,16.401869,5,1,0.2,3.51
2026-06-23,2026-06-23,"Frozen Pasta Can't Be That Good",active,50,Daily,2.11,132,134,1.015152,1,0.746269,2.11,15.746269,1,1,1,2.11
2026-06-23,2026-06-23,"Joe Basil Pesto at Target",inactive,50,Daily,15.44,772,790,1.023316,72,9.113924,0.214444,19.544304,72,14,0.19444444,1.10285714
2026-06-23,2026-06-23,"Cacio e Pepe Puffs",inactive,50,Daily,48.8,2032,2057,1.012303,139,6.757414,0.351079,23.72387,131,35,0.26717557,1.39428571
2026-06-23,2026-06-23,"Joe Crispy Chicken Skin Crumble",active,50,Daily,35.42,1698,1802,1.061249,101,5.604883,0.350693,19.655938,90,31,0.34444444,1.14258065
2026-06-23,2026-06-23,"4 Easy Pasta Dinners",inactive,50,Daily,0.05,2,2,1,,,,25,0,0,,
2026-06-23,2026-06-23,"Monthly Rip",inactive,50,Daily,2.11,70,70,1,,,,30.142857,0,0,,
2026-06-23,2026-06-23,"Trio Logo (Whole Foods)",active,50,Daily,66.95,23828,24116,1.012087,13,0.053906,5.15,2.776165,0,0,,
2026-06-23,2026-06-23,"Pasta Tower",inactive,50,Daily,0.03,14,14,1,,,,2.142857,0,0,,
2026-06-23,2026-06-23,"Sauce Splash",inactive,50,Daily,0.04,12,12,1,,,,3.333333,0,0,,
2026-06-23,2026-06-23,"Basil Pesto Exclusive (Target)",active,50,Daily,70.09,24524,24524,1,28,0.114174,2.503214,2.858017,1,0,0,
2026-06-23,2026-06-23,"On Sale Basil Pesto",not_delivering,50,Daily,94,24657,26436,1.07215,61,0.230746,1.540984,3.555757,1,0,0,
2026-06-23,2026-06-23,"Us v. Them",active,50,Daily,44,14772,15699,1.062754,5,0.031849,8.8,2.802726,1,0,0,
2026-06-22,2026-06-22,"Target On Shelves",active,50,Daily,5.39,347,353,1.017291,20,5.665722,0.2695,15.269122,19,2,0.10526316,2.695
2026-06-22,2026-06-22,"Joe Basil Pesto at Whole Foods",inactive,50,Daily,0.06,4,4,1,,,,15,0,0,,
2026-06-22,2026-06-22,"Frozen Pasta Can't Be That Good",active,50,Daily,30.87,1962,2067,1.053517,74,3.580068,0.417162,14.934688,63,25,0.3968254,1.2348
2026-06-22,2026-06-22,"Joe Basil Pesto at Target",inactive,50,Daily,0.06,2,2,1,,,,30,0,0,,
2026-06-22,2026-06-22,"Cacio e Pepe Puffs",inactive,50,Daily,41,2026,2026,1,148,7.305035,0.277027,20.23692,139,34,0.24460432,1.20588235
2026-06-22,2026-06-22,"Trio Logo (Whole Foods)",active,50,Daily,65.61,26305,26999,1.026383,32,0.118523,2.050313,2.43009,0,0,,
2026-06-22,2026-06-22,"Pasta Tower",inactive,50,Daily,19.66,6639,7120,1.072451,4,0.05618,4.915,2.761236,1,0,0,
2026-06-22,2026-06-22,"Sauce Splash",inactive,50,Daily,28.51,9952,10446,1.049638,7,0.067011,4.072857,2.729274,2,0,0,
2026-06-22,2026-06-22,"Basil Pesto Exclusive (Target)",active,50,Daily,65,23701,23701,1,20,0.084385,3.25,2.7425,1,0,0,
2026-06-22,2026-06-22,"Us v. Them",active,50,Daily,45.97,15562,16586,1.065801,15,0.090438,3.064667,2.771615,8,0,0,
2026-06-21,2026-06-21,"Target On Shelves",active,50,Daily,0.56,28,28,1,2,7.142857,0.28,20,0,0,,
2026-06-21,2026-06-21,"4 Easy Pasta Dinners",inactive,50,Daily,0.08,5,6,1.2,,,,13.333333,0,0,,
2026-06-21,2026-06-21,"Frozen Pasta Can't Be That Good",active,50,Daily,28.01,2136,2270,1.062734,84,3.700441,0.333452,12.339207,68,25,0.36764706,1.1204
2026-06-21,2026-06-21,"Trio Logo (Whole Foods)",active,50,Daily,54.09,17852,18789,1.052487,7,0.037256,7.727143,2.878812,0,0,,
2026-06-21,2026-06-21,"Cacio e Pepe Puffs",inactive,50,Daily,55.7,2750,2750,1,245,8.909091,0.227347,20.254545,224,58,0.25892857,0.96034483
2026-06-21,2026-06-21,"Pasta Tower",inactive,50,Daily,11.18,3954,4096,1.035913,2,0.048828,5.59,2.729492,0,0,,
2026-06-21,2026-06-21,"Sauce Splash",inactive,50,Daily,45.21,16025,16335,1.019345,16,0.097949,2.825625,2.767677,2,0,0,
2026-06-21,2026-06-21,"Basil Pesto Exclusive (Target)",active,50,Daily,67.26,25047,26538,1.059528,15,0.056523,4.484,2.534479,0,0,,
2026-06-21,2026-06-21,"Us v. Them",active,50,Daily,73,35151,35840,1.019601,56,0.15625,1.303571,2.03683,16,0,0,
2026-06-20,2026-06-20,"Target On Shelves",active,50,Daily,7.64,453,477,1.05298,23,4.821803,0.332174,16.016771,19,2,0.10526316,3.82
2026-06-20,2026-06-20,"4 Easy Pasta Dinners",inactive,50,Daily,0.12,2,2,1,,,,60,0,0,,
2026-06-20,2026-06-20,"Frozen Pasta Can't Be That Good",active,50,Daily,11.65,797,816,1.023839,35,4.289216,0.332857,14.276961,28,12,0.42857143,0.97083333
2026-06-20,2026-06-20,"Monthly Rip",inactive,50,Daily,0.02,3,3,1,,,,6.666667,0,0,,
2026-06-20,2026-06-20,"Cacio e Pepe Puffs",inactive,50,Daily,50.28,2261,2308,1.020787,151,6.542461,0.33298,21.785095,141,38,0.26950355,1.32315789
2026-06-20,2026-06-20,"Trio Logo (Whole Foods)",active,50,Daily,33.76,11704,12469,1.065362,6,0.048119,5.626667,2.707515,0,0,,
2026-06-20,2026-06-20,"Pasta Tower",inactive,50,Daily,7.67,2509,2562,1.021124,2,0.078064,3.835,2.993755,0,0,,
2026-06-20,2026-06-20,"Sauce Splash",inactive,50,Daily,31.37,10475,10737,1.025012,9,0.083822,3.485556,2.921673,2,0,0,
2026-06-20,2026-06-20,"Basil Pesto Exclusive (Target)",active,50,Daily,45.96,18825,19713,1.047171,20,0.101456,2.298,2.331456,0,0,,
2026-06-20,2026-06-20,"Us v. Them",active,50,Daily,49.97,18289,18705,1.022746,22,0.117616,2.271364,2.671478,5,0,0,
2026-06-19,2026-06-19,"Target On Shelves",active,50,Daily,0.15,14,15,1.071429,,,,10,0,0,,
2026-06-19,2026-06-19,"Trio Logo (Whole Foods)",active,50,Daily,47.08,15629,16644,1.064943,6,0.036049,7.846667,2.828647,0,0,,
2026-06-19,2026-06-19,"Frozen Pasta Can't Be That Good",active,50,Daily,0.73,51,52,1.019608,4,7.692308,0.1825,14.038462,2,0,0,
2026-06-19,2026-06-19,"Pasta Tower",inactive,50,Daily,3.83,1345,1353,1.005948,,,,2.830746,0,0,,
2026-06-19,2026-06-19,"Cacio e Pepe Puffs",inactive,50,Daily,60.89,3285,3302,1.005175,216,6.54149,0.281898,18.440339,205,46,0.22439024,1.32369565
2026-06-19,2026-06-19,"Sauce Splash",inactive,50,Daily,30.4,10017,10545,1.05271,6,0.056899,5.066667,2.882883,2,0,0,
2026-06-19,2026-06-19,"Basil Pesto Exclusive (Target)",active,50,Daily,52.66,18214,19390,1.064566,12,0.061888,4.388333,2.715833,0,0,,
2026-06-19,2026-06-19,"Us v. Them",active,50,Daily,46.45,18581,18615,1.00183,18,0.096696,2.580556,2.495299,5,0,0,
2026-06-18,2026-06-18,"Target On Shelves",active,50,Daily,0.18,9,10,1.111111,,,,18,0,0,,
2026-06-18,2026-06-18,"Monthly Rip",inactive,50,Daily,0.05,4,4,1,,,,12.5,0,0,,
2026-06-18,2026-06-18,"Frozen Pasta Can't Be That Good",active,50,Daily,0.48,50,50,1,3,6,0.16,9.6,3,1,0.33333333,0.48
2026-06-18,2026-06-18,"Trio Logo (Whole Foods)",active,50,Daily,55.88,29149,29605,1.015644,36,0.121601,1.552222,1.887519,0,0,,
2026-06-18,2026-06-18,"Cacio e Pepe Puffs",inactive,50,Daily,69.49,4201,4201,1,314,7.474411,0.221306,16.5413,306,70,0.22875817,0.99271429
