"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Frequency,"Link clicks","CTR (link click-through rate)","CPC (cost per link click) (USD)","CPM (cost per 1,000 impressions) (USD)","Instagram profile visits","Instagram follows","IG Follow Rate","Cost Per Follow (CPF)"
2026-06-08,2026-06-08,"Sauce Splash",inactive,50,Daily,1,513,513,1,,,,1.949318,0,0,,
2026-06-08,2026-06-08,"Us v. Them",inactive,50,Daily,82.79,60361,60579,1.003612,99,0.163423,0.836263,1.366645,24,0,0,
2026-06-08,2026-06-08,"Basil Pesto Exclusive (Target)",active,50,Daily,0.18,77,81,1.051948,,,,2.222222,0,0,,
2026-06-08,2026-06-08,"Founder Message",inactive,50,Daily,1.37,135,136,1.007407,12,8.823529,0.114167,10.073529,12,1,0.08333333,1.37
2026-06-08,2026-06-08,"Us v. Them",active,50,Daily,64.41,39444,39444,1,67,0.169861,0.961343,1.632948,15,0,0,
2026-06-08,2026-06-08,"Cacio e Pepe Hero Image",inactive,50,Daily,0.32,145,148,1.02069,,,,2.162162,0,0,,
2026-06-07,2026-06-07,"Target On Shelves",active,50,Daily,0.75,35,35,1,,,,21.428571,0,0,,
2026-06-07,2026-06-07,"Basil Pesto x Caraway",inactive,50,Daily,0.02,1,1,1,,,,20,0,0,,
2026-06-07,2026-06-07,"Frozen Pasta Can't Be That Good",active,50,Daily,18.02,1412,1446,1.024079,62,4.28769,0.290645,12.461964,53,19,0.35849057,0.94842105
2026-06-07,2026-06-07,"Founder Content",inactive,50,Daily,0,2,2,1,,,,0,0,0,,
2026-06-07,2026-06-07,"Cacio e Pepe Puffs",inactive,50,Daily,57.54,4854,4970,1.023898,315,6.338028,0.182667,11.577465,313,66,0.21086262,0.87181818
2026-06-07,2026-06-07,"Trio Logo (Whole Foods)",active,50,Daily,50.14,50255,50570,1.006268,43,0.085031,1.166047,0.991497,0,0,,
2026-06-07,2026-06-07,"Us v. Them (Whole Foods)",inactive,50,Daily,34.92,46927,46927,1,50,0.106548,0.6984,0.744135,12,0,0,
2026-06-07,2026-06-07,"Us v. Them (Target)",inactive,50,Daily,54.69,27619,27619,1,20,0.072414,2.7345,1.980159,3,1,0.33333333,54.69
2026-06-07,2026-06-07,"Dark Lifestyle",inactive,50,Daily,0.31,169,169,1,,,,1.83432,0,0,,
2026-06-07,2026-06-07,"Sauce Splash",inactive,50,Daily,3.07,1775,1775,1,1,0.056338,3.07,1.729577,1,0,0,
2026-06-07,2026-06-07,"Us v. Them",inactive,50,Daily,46.07,23428,23428,1,14,0.059758,3.290714,1.96645,4,0,0,
2026-06-07,2026-06-07,"Basil Pesto Exclusive (Target)",active,50,Daily,1.75,1059,1077,1.016997,2,0.185701,0.875,1.624884,0,0,,
2026-06-07,2026-06-07,"Us v. Them",active,50,Daily,48.98,23868,24354,1.020362,18,0.07391,2.721111,2.011169,3,0,0,
2026-06-06,2026-06-06,"Target On Shelves",active,50,Daily,0.09,7,7,1,,,,12.857143,0,0,,
2026-06-06,2026-06-06,"Trio Logo (Whole Foods)",active,50,Daily,0.13,70,70,1,,,,1.857143,0,0,,
2026-06-06,2026-06-06,"Frozen Pasta Can't Be That Good",active,50,Daily,8.86,693,700,1.010101,30,4.285714,0.295333,12.657143,26,10,0.38461538,0.886
2026-06-06,2026-06-06,"Us v. Them (Whole Foods)",inactive,50,Daily,4.29,4063,4241,1.04381,8,0.188635,0.53625,1.011554,0,0,,
2026-06-06,2026-06-06,"Cacio e Pepe Puffs",inactive,50,Daily,47.15,3670,3670,1,273,7.438692,0.172711,12.847411,276,55,0.19927536,0.85727273
2026-06-06,2026-06-06,"Us v. Them (Target)",inactive,50,Daily,19.67,10599,10599,1,2,0.01887,9.835,1.855835,1,0,0,
2026-06-06,2026-06-06,"Dark Lifestyle",inactive,50,Daily,0.04,38,38,1,,,,1.052632,0,0,,
2026-06-06,2026-06-06,"Pasta Tower",inactive,50,Daily,3.52,2284,2284,1,1,0.043783,3.52,1.541156,0,0,,
2026-06-06,2026-06-06,"Sauce Splash",inactive,50,Daily,1.25,743,743,1,,,,1.682369,0,0,,
2026-06-06,2026-06-06,"Us v. Them",inactive,50,Daily,54.36,29636,29636,1,18,0.060737,3.02,1.834256,3,0,0,
2026-06-06,2026-06-06,"Basil Pesto Exclusive (Target)",active,50,Daily,1.73,951,966,1.015773,,,,1.79089,0,0,,
2026-06-06,2026-06-06,"Us v. Them",active,50,Daily,53.7,29238,29325,1.002976,15,0.051151,3.58,1.831202,8,0,0,
2026-06-06,2026-06-06,"Cacio e Pepe Hero Image",inactive,50,Daily,1.05,617,630,1.02107,,,,1.666667,0,0,,
2026-06-05,2026-06-05,"Target On Shelves",active,50,Daily,6.73,512,513,1.001953,23,4.483431,0.292609,13.118908,23,4,0.17391304,1.6825
2026-06-05,2026-06-05,"Basil Pesto x Caraway",inactive,50,Daily,2.01,109,111,1.018349,4,3.603604,0.5025,18.108108,3,1,0.33333333,2.01
2026-06-05,2026-06-05,"Frozen Pasta Can't Be That Good",active,50,Daily,52.15,3638,3934,1.081363,162,4.117946,0.321914,13.256228,126,44,0.34920635,1.18522727
2026-06-05,2026-06-05,"Trio Logo (Whole Foods)",active,50,Daily,5.53,4684,4684,1,5,0.106746,1.106,1.180615,0,0,,
2026-06-05,2026-06-05,"Cacio e Pepe Puffs",inactive,50,Daily,17.39,1129,1160,1.027458,68,5.862069,0.255735,14.991379,67,10,0.14925373,1.739
2026-06-05,2026-06-05,"Us v. Them (Whole Foods)",inactive,50,Daily,8.46,6027,6073,1.007632,7,0.115264,1.208571,1.393051,3,0,0,
2026-06-05,2026-06-05,"Us v. Them (Target)",inactive,50,Daily,25.53,12128,12844,1.059037,9,0.070072,2.836667,1.987699,2,0,0,
2026-06-05,2026-06-05,"Dark Lifestyle",inactive,50,Daily,0.28,114,115,1.008772,,,,2.434783,0,0,,
2026-06-05,2026-06-05,"Sauce Splash",inactive,50,Daily,7.41,4734,4734,1,9,0.190114,0.823333,1.565273,1,0,0,
2026-06-05,2026-06-05,"Us v. Them",inactive,50,Daily,47.7,21629,22717,1.050303,18,0.079236,2.65,2.099749,2,0,0,
2026-06-05,2026-06-05,"Basil Pesto Exclusive (Target)",active,50,Daily,2.36,1585,1585,1,2,0.126183,1.18,1.488959,0,0,,
2026-06-05,2026-06-05,"Founder Message",inactive,50,Daily,0.06,5,5,1,,,,12,0,0,,
2026-06-05,2026-06-05,"Us v. Them",active,50,Daily,49,23115,23741,1.027082,23,0.096879,2.130435,2.06394,1,0,0,
2026-06-05,2026-06-05,"Cacio e Pepe Hero Image",inactive,50,Daily,0.76,438,444,1.013699,,,,1.711712,0,0,,
2026-06-04,2026-06-04,"Target On Shelves",active,50,Daily,1.75,75,77,1.026667,3,3.896104,0.583333,22.727273,3,0,0,
2026-06-04,2026-06-04,"Basil Pesto x Caraway",inactive,50,Daily,27.43,1187,1226,1.032856,55,4.486134,0.498727,22.373573,50,12,0.24,2.28583333
2026-06-04,2026-06-04,"Frozen Pasta Can't Be That Good",active,50,Daily,1.96,90,91,1.011111,2,2.197802,0.98,21.538462,0,0,,
2026-06-04,2026-06-04,"Founder Content",inactive,50,Daily,0.06,5,5,1,,,,12,0,0,,
2026-06-04,2026-06-04,"Cacio e Pepe Puffs",inactive,50,Daily,37.88,2517,2522,1.001986,154,6.106265,0.245974,15.019826,154,19,0.12337662,1.99368421
2026-06-04,2026-06-04,"Trio Logo (Whole Foods)",active,50,Daily,2.27,3684,3704,1.005429,6,0.161987,0.378333,0.612851,0,0,,
2026-06-04,2026-06-04,"Us v. Them (Whole Foods)",inactive,50,Daily,31.78,16859,17222,1.021532,14,0.081291,2.27,1.845314,3,0,0,
2026-06-04,2026-06-04,"Us v. Them (Target)",inactive,50,Daily,26.04,12182,12437,1.020933,21,0.168851,1.24,2.093753,4,0,0,
2026-06-04,2026-06-04,"Dark Lifestyle",inactive,50,Daily,0.11,54,57,1.055556,,,,1.929825,0,0,,
2026-06-04,2026-06-04,"Pasta Tower",inactive,50,Daily,0.74,322,323,1.003106,,,,2.291022,0,0,,
2026-06-04,2026-06-04,"Sauce Splash",inactive,50,Daily,0.54,237,240,1.012658,,,,2.25,0,0,,
2026-06-04,2026-06-04,"Us v. Them",inactive,50,Daily,51.28,22608,23920,1.058033,13,0.054348,3.944615,2.143813,3,0,0,
2026-06-04,2026-06-04,"Basil Pesto Exclusive (Target)",active,50,Daily,17.33,10276,10493,1.021117,14,0.133422,1.237857,1.651577,0,0,,
2026-06-04,2026-06-04,"Founder Message",inactive,50,Daily,10.17,832,851,1.022837,54,6.345476,0.188333,11.950646,55,6,0.10909091,1.695
2026-06-04,2026-06-04,"Us v. Them",active,50,Daily,48.64,20429,21872,1.070635,11,0.050293,4.421818,2.223848,4,0,0,
2026-06-04,2026-06-04,"Cacio e Pepe Hero Image",inactive,50,Daily,0.59,240,245,1.020833,,,,2.408163,0,0,,
2026-06-03,2026-06-03,"Target On Shelves",active,50,Daily,0.03,1,1,1,,,,30,0,0,,
