"Reporting starts","Reporting ends","Ad set name","Ad set delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Frequency,"Link clicks","CTR (link click-through rate)","CPC (cost per link click) (USD)","CPM (cost per 1,000 impressions) (USD)","Instagram profile visits","Instagram follows","IG Follow Rate","Cost Per Follow (CPF)"
2026-06-23,2026-06-23,"[Parents + Cooking] Creative Test",inactive,50,Daily,0.07,26,26,1,,,,2.692308,0,0,,
2026-06-23,2026-06-23,"Target Evergreen Campaign",active,50,Daily,70.09,24524,24524,1,28,0.114174,2.503214,2.858017,1,0,0,
2026-06-23,2026-06-23,"Whole Foods Evergreen Campaign",active,50,Daily,66.95,23828,24116,1.012087,13,0.053906,5.15,2.776165,0,0,,
2026-06-23,2026-06-23,"Target Promo",inactive,50,Daily,94,24657,26436,1.07215,61,0.230746,1.540984,3.555757,1,0,0,
2026-06-23,2026-06-23,"Audience Test (Parents + Cooking)",active,50,Daily,44,14772,15699,1.062754,5,0.031849,8.8,2.802726,1,0,0,
2026-06-23,2026-06-23,"Existing Posts",active,50,Daily,53.11,2239,2265,1.011612,140,6.181015,0.379357,23.448124,132,36,0.27272727,1.47527778
2026-06-22,2026-06-22,"Joe Audience Test",active,50,Daily,0.12,6,6,1,,,,20,0,0,,
2026-06-22,2026-06-22,"[Parents + Cooking] Creative Test",inactive,50,Daily,48.17,16545,17566,1.06171,11,0.062621,4.379091,2.742229,3,0,0,
2026-06-22,2026-06-22,"Target Evergreen Campaign",active,50,Daily,65,23701,23701,1,20,0.084385,3.25,2.7425,1,0,0,
2026-06-22,2026-06-22,"Whole Foods Evergreen Campaign",active,50,Daily,65.61,26305,26999,1.026383,32,0.118523,2.050313,2.43009,0,0,,
2026-06-22,2026-06-22,"Audience Test (Parents + Cooking)",active,50,Daily,45.97,15562,16586,1.065801,15,0.090438,3.064667,2.771615,8,0,0,
2026-06-22,2026-06-22,"Existing Posts",active,50,Daily,77.26,4347,4446,1.022774,242,5.443095,0.319256,17.377418,221,61,0.2760181,1.26655738
2026-06-21,2026-06-21,"[Parents + Cooking] Creative Test",inactive,50,Daily,56.39,19594,20431,1.042717,18,0.088101,3.132778,2.760022,2,0,0,
2026-06-21,2026-06-21,"Target Evergreen Campaign",active,50,Daily,67.26,25047,26538,1.059528,15,0.056523,4.484,2.534479,0,0,,
2026-06-21,2026-06-21,"Whole Foods Evergreen Campaign",active,50,Daily,54.09,17852,18789,1.052487,7,0.037256,7.727143,2.878812,0,0,,
2026-06-21,2026-06-21,"Audience Test (Parents + Cooking)",active,50,Daily,73,35151,35840,1.019601,56,0.15625,1.303571,2.03683,16,0,0,
2026-06-21,2026-06-21,"Existing Posts",active,50,Daily,84.35,4883,5054,1.035019,331,6.549268,0.254834,16.689751,292,83,0.28424658,1.01626506
2026-06-20,2026-06-20,"[Parents + Cooking] Creative Test",inactive,50,Daily,39.04,13140,13299,1.0121,11,0.082713,3.549091,2.935559,2,0,0,
2026-06-20,2026-06-20,"Target Evergreen Campaign",active,50,Daily,45.96,18825,19713,1.047171,20,0.101456,2.298,2.331456,0,0,,
2026-06-20,2026-06-20,"Whole Foods Evergreen Campaign",active,50,Daily,33.76,11704,12469,1.065362,6,0.048119,5.626667,2.707515,0,0,,
2026-06-20,2026-06-20,"Audience Test (Parents + Cooking)",active,50,Daily,49.97,18289,18705,1.022746,22,0.117616,2.271364,2.671478,5,0,0,
2026-06-20,2026-06-20,"Existing Posts",active,50,Daily,69.71,3511,3606,1.027058,209,5.795896,0.333541,19.331669,188,52,0.27659574,1.34057692
2026-06-19,2026-06-19,"[Parents + Cooking] Creative Test",inactive,50,Daily,34.23,11322,11898,1.050874,6,0.050429,5.705,2.876954,2,0,0,
