"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set budget","Ad set budget type","Amount spent (USD)","CPM (cost per 1,000 impressions) (USD)",Reach,Impressions,Frequency,"IG Follow Rate","Instagram profile visits","Instagram follows","Cost Per Follow (CPF)","CTR (link click-through rate)","Link clicks","Landing page views rate per link clicks"
2026-09-01,2026-09-24,"Cacio e Pepe Puffs",inactive,75,Daily,113.2,15.025219,7432,7534,1.013724,0.08845577,667,59,1.91864407,8.893018,670,2.38806
2026-09-01,2026-09-24,"Frozen Pasta Can't Be That Good",inactive,75,Daily,196.81,17.113913,10793,11500,1.065505,0.20039293,509,102,1.9295098,4.382609,504,8.928571
2026-09-01,2026-09-24,"Imagine Hating On Me",active,75,Daily,480.42,28.388584,13894,16923,1.218008,0.12655087,806,102,4.71,5.040477,853,0.937866
2026-09-01,2026-09-24,"4 Easy Pasta Dinners",inactive,75,Daily,2.53,23,104,110,1.057692,0,6,0,0,8.181818,9,0
2026-09-01,2026-09-24,"Cacio e Pepe Puffs",inactive,75,Daily,539.61,14.076171,35491,38335,1.080133,0.07373596,2848,210,2.56957143,7.669232,2940,1.360544
2026-09-01,2026-09-24,"Frozen Pasta Can't Be That Good",active,75,Daily,1312.66,15.581459,70646,84245,1.192495,0.2277591,3271,745,1.76195973,4.198469,3537,9.386486
2026-09-01,2026-09-24,"Sauce Before Pasta",inactive,75,Daily,109.15,8.363985,11762,13050,1.109505,0.00178359,1682,3,36.38333333,5.111111,667,0.149925
2026-09-01,2026-09-24,"Ripi x sourmilk",inactive,75,Daily,321.82,13.50086,20394,23837,1.168824,0.04194407,1502,63,5.10825397,6.674498,1591,0.251414
2026-09-01,2026-09-24,"Did You Know",active,75,Daily,784.5,29.555815,21675,26543,1.224591,0.22427035,1302,292,2.68664384,5.040877,1338,9.192825
